Angle;S21 (Ori)
0;-40,42
5;-40,94
10;-40,66
15;-39,75
20;-39,29
25;-39,34
30;-38,95
35;-38,92
40;-39,74
45;-39,91
50;-39,53
55;-40,53
60;-42,61
65;-44,11
70;-46,94
75;-54,54
80;-48,81
85;-49,52
90;-53,63
95;-52,01
100;-46,83
105;-48,17
110;-54,69
115;-46,42
120;-46,63
125;-53,68
130;-48,99
135;-47,65
140;-53,05
145;-56,52
150;-48,89
155;-47,55
160;-47,44
165;-47,73
170;-49,81
175;-51,07
180;-51,35
185;-50,01
190;-48,73
195;-47,93
200;-48,12
205;-49,69
210;-51,61
215;-53,77
220;-52,92
225;-51,15
230;-50,98
235;-48,61
240;-52,45
245;-59,28
250;-51,14
255;-59,72
260;-50,54
265;-47,25
270;-56,81
275;-48,98
280;-48,52
285;-54,2
290;-49,98
295;-57,13
300;-46,74
305;-44,15
310;-44,76
315;-41,82
320;-41,04
325;-40,93
330;-39,61
335;-39,59
340;-39,44
345;-39,55
350;-40,05
355;-39,68
360;-38,98
